SMILES,Actual_logS,GCN_Prediction,GAT_Prediction,GCN_Error,GAT_Error,Error_Difference,MolecularWeight,LogP,TPSA,Rings,RotatableBonds,HBD,HBA
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19,-4.106059,-4.398621,0.916059,1.208621,0.292562,266.30400000000003,2.6512200000000004,58.120000000000005,4,1,1,4
COC(=O)c1ccccc1,-1.85,-1.8139733,-2.1044939,0.036026716,0.25449383,0.21846712,136.14999999999998,1.4732,26.3,1,1,0,2
CC(C)Br,-1.59,-2.0331352,-1.042829,0.44313514,0.547171,0.104035854,122.993,1.7897,0.0,0,0,0,0
C=CCCC=C,-2.68,-1.3170114,-2.6977887,1.3629887,0.017788649,-1.3452001,82.14599999999999,2.1386000000000003,0.0,0,3,0,0
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8,-4.178095,-3.5010269,0.3780949,0.29897308,-0.07912183,233.09799999999998,3.0869000000000018,32.34,1,1,1,1
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,-2.9602242,-3.0649621,0.5912242,0.6959622,0.104738,244.25,0.8664999999999998,75.27000000000001,2,3,2,3
NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-2.68,-4.653123,-3.398502,1.9731228,0.71850204,-1.2546208,380.66200000000003,0.8210000000000011,118.35999999999999,2,2,3,5
ClCc1ccccc1,-2.39,-2.2062976,-2.548916,0.18370247,0.158916,-0.024786472,126.58599999999996,2.4254000000000007,0.0,1,1,0,0
C/C=C/C=O,0.32,0.08449553,-0.40290505,0.23550446,0.72290504,0.4874006,70.09100000000001,0.7614000000000001,17.07,0,1,0,1
CCC#CCC,-1.99,-1.4050132,-2.254427,0.5849868,0.26442695,-0.32055986,82.14599999999999,1.8098,0.0,0,0,0,0
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,-4.16,-4.01973,-2.8358924,0.14026976,1.3241074,1.1838377,316.4270000000001,1.74462,84.42,1,8,1,6
CC(C)CC(=O)C,-0.74,-1.3073709,-0.63246566,0.5673709,0.10753435,-0.45983654,100.16099999999999,1.6215,17.07,0,2,0,1
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148,-2.4613423,-2.0407486,0.31334233,0.107251406,-0.20609093,198.22199999999998,0.4047999999999994,75.27000000000001,1,2,2,3
CC(C)C,-2.55,-2.9164648,-3.374854,0.36646485,0.82485414,0.45838928,58.123999999999995,1.6622999999999999,0.0,0,0,0,0
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,-4.142569,-4.4039884,0.66256905,0.92398834,0.2614193,192.00100000000003,2.901600000000001,43.14,1,1,0,2
CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ,-4.31,-4.07639,-3.1322412,0.23361015,1.1777587,0.94414854,434.50400000000025,2.4188000000000005,93.06000000000002,5,2,2,6
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,-3.4389558,-3.327164,0.008955717,0.10283613,0.093880415,380.45600000000013,1.8737,94.83,4,2,3,5
CC(C)O,0.43,-0.07831891,1.1720026,0.5083189,0.74200255,0.23368365,60.096000000000004,0.38710000000000006,20.23,0,0,1,1
O=C(c1ccccc1)c2ccccc2,-3.12,-3.482027,-2.807426,0.36202717,0.3125739,-0.04945326,182.222,2.917600000000001,17.07,2,2,0,1
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,-3.61,-4.077388,-4.8623466,0.4673879,1.2523468,0.78495884,293.754,3.1243000000000016,57.010000000000005,2,4,0,4
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.68,-5.5782886,-5.704239,0.10171127,0.024239063,-0.07747221,335.28200000000004,4.148200000000004,89.51999999999998,1,7,0,5
Oc1ccc(Br)cc1,-1.09,-2.070177,-1.5455464,0.98017704,0.45554638,-0.52463067,173.00900000000001,2.1547,20.23,1,0,1,1
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699,-8.050764,-7.9090714,0.6482363,0.7899289,0.14169264,252.31599999999997,5.737200000000003,0.0,5,0,0,0
COc1ccccc1Cl,-2.46,-1.9853003,-2.7085981,0.47469974,0.2485981,-0.22610164,142.58499999999998,2.3486000000000002,9.23,1,1,0,1
CCCCCCCCC=C,-5.51,-4.1259103,-5.600046,1.38409,0.09004593,-1.294044,140.26999999999998,3.9230000000000036,0.0,0,7,0,0
CCNc1ccccc1,-1.7,-1.9836677,-3.0012124,0.28366768,1.3012123,1.0175446,121.18299999999995,2.1184,12.03,1,2,1,1
Cc1ccccc1Br,-2.23,-2.619648,-2.8029652,0.38964796,0.57296515,0.18331718,171.03699999999998,2.7575200000000013,0.0,1,0,0,0
CCCOC(C)C,-1.34,-0.7357264,-1.0165156,0.6042736,0.32348442,-0.2807892,102.17699999999998,1.8214000000000001,9.23,0,3,0,1
CCCCC(CC)C=O,-2.13,-3.0224454,-2.7959266,0.8924453,0.66592646,-0.22651887,128.21499999999997,2.401700000000001,17.07,0,5,0,1
BrCCBr,-1.68,-2.5518897,-1.1726748,0.8718897,0.5073252,-0.36456454,187.862,1.7762,0.0,0,1,0,0
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,-0.63129056,-1.7720686,0.13870943,1.0020686,0.8633592,457.4320000000001,-3.1080199999999985,202.31999999999996,3,7,7,12
CCCCCl,-2.03,-2.0414288,-2.1344383,0.011428833,0.104438305,0.09300947,92.56899999999999,2.0253,0.0,0,2,0,0
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89,-4.0431633,-3.9810627,1.1531632,1.0910625,-0.06210065,213.10499999999996,1.4112,129.42000000000002,1,3,0,6
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56,-2.4084568,-1.9267397,0.15154314,0.63326025,0.4817171,217.26800000000003,2.709500000000001,38.33,2,2,1,2
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.493,-3.0587554,-3.0975654,0.43424463,0.39543462,-0.038810015,342.2260000000001,3.653400000000003,49.17,3,5,0,4
Cc1cccc(C)c1,-2.82,-1.9112419,-2.7345207,0.90875804,0.08547926,-0.8232788,106.16799999999999,2.30344,0.0,1,0,0,0
CCCCCCCl,-3.12,-3.1516275,-3.4052932,0.031627655,0.28529334,0.2536657,120.623,2.805500000000001,0.0,0,4,0,0
CCCCC(=O)OCC,-2.25,-1.6429743,-1.3671557,0.60702574,0.8828443,0.2758186,130.18699999999998,1.7397,26.3,0,4,0,2
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24,-5.567584,-4.345007,0.32758427,0.8949928,0.56740856,266.34,3.9444000000000026,37.3,4,0,1,2
COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O ,-3.638,-2.5675662,-2.7440243,1.0704339,0.89397573,-0.17645812,435.48100000000034,1.2672999999999996,132.5,3,6,2,10
COc1ncnc2nccnc12 ,-1.11,-1.0296023,-1.5336329,0.080397725,0.42363286,0.34323514,162.15200000000002,0.4283999999999998,60.790000000000006,2,1,0,5
Cc1ccc(C)c(C)c1,-3.31,-2.2549791,-3.3273242,1.0550208,0.01732421,-1.0376966,120.195,2.611860000000001,0.0,1,0,0,0
CCOC(=O)CC,-0.66,-0.5495299,-0.3688988,0.110470116,0.29110122,0.1806311,102.133,0.9595,26.3,0,2,0,2
O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 ,-3.928,-3.80178,-3.194936,0.12621999,0.73306394,0.60684395,254.28900000000002,2.9595200000000013,55.56,3,0,1,3
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,-4.9,-3.9057837,-3.829184,0.99421644,1.070816,0.0765996,434.5040000000003,2.466500000000001,100.9,4,3,2,6
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,-2.6017754,-3.076716,0.5252247,0.050284147,-0.47494054,266.098,1.5771999999999997,60.910000000000004,2,1,1,3
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,-4.787854,-2.874511,0.087854385,1.8254888,1.7376344,327.1230000000001,3.8595000000000006,92.47,2,3,2,4
c1ccc2c(c1)cnc3ccccc23 ,-2.78,-4.729865,-3.589096,1.9498651,0.8090961,-1.140769,179.22199999999998,3.388000000000001,12.89,3,0,0,1
CCCC(=O)OCC,-1.36,-1.0147029,-0.80978006,0.3452971,0.55021995,0.20492285,116.15999999999998,1.3496000000000001,26.3,0,3,0,2
CC(C)C(C)C(C)C,-4.8,-4.993519,-4.1917744,0.19351864,0.6082258,0.41470718,114.23199999999999,2.9345000000000017,0.0,0,2,0,0
CCCCSP(=O)(SCCCC)SCCCC,-5.14,-4.683914,-1.6291552,0.45608568,3.5108447,3.054759,314.5220000000001,6.694400000000005,17.07,0,12,0,4
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-5.293,-1.8304591,-3.3359559,3.462541,1.9570444,-1.5054967,764.9499999999999,3.247300000000002,182.82999999999998,8,7,5,13
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,-3.7606885,-3.902921,1.7093112,1.5670788,-0.14223242,293.41400000000004,4.871880000000004,27.96,2,4,0,2
CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337,-2.8823476,-2.898261,0.5453477,0.5612612,0.015913486,217.268,1.771,46.17,2,2,1,2
CCCI,-2.29,-2.0612438,-2.6551342,0.22875619,0.36513424,0.13637805,169.993,1.8314,0.0,0,1,0,0
CC(C)I,-2.09,-2.5852604,-2.1856806,0.49526048,0.09568071,-0.39957976,169.993,1.8298,0.0,0,0,0,0
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,-3.328425,-3.2006578,0.8715749,0.99934196,0.12776709,397.52400000000006,3.7726000000000024,64.63,1,10,1,6
CCCCO,0.0,-0.53521776,0.109222345,0.53521776,0.109222345,-0.4259954,74.12299999999999,0.7787999999999999,20.23,0,2,1,1
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13,-3.5642033,-3.0813272,0.56579685,1.0486729,0.48287606,478.51300000000026,1.7620999999999996,127.20000000000002,4,4,2,8
C1CCC2CCCCC2C1,-5.19,-3.9927819,-4.880993,1.1972182,0.30900717,-0.888211,138.254,3.3668000000000022,0.0,2,0,0,0
CCCCCCC=C,-4.44,-3.4401686,-4.3637094,0.99983144,0.07629061,-0.92354083,112.216,3.142800000000002,0.0,0,5,0,0
CCCCCCC#C,-3.66,-2.725047,-3.776327,0.934953,0.11632681,-0.81862617,110.19999999999999,2.5900000000000007,0.0,0,4,0,0
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,-3.572638,-3.9136324,0.14263797,0.48363233,0.34099436,232.20499999999996,2.7989000000000006,32.34,1,1,1,1
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097,-3.730987,-4.842097,0.36601305,0.7450967,0.37908363,252.27300000000002,1.7695999999999998,58.2,3,2,2,2
Cc1cccc2ccccc12,-3.7,-4.0812798,-3.7734244,0.3812797,0.07342434,-0.30785537,142.201,3.148220000000002,0.0,2,0,0,0
CCc1ccc(CC)cc1,-3.75,-3.420582,-3.5832794,0.32941794,0.16672063,-0.16269732,134.22199999999998,2.811400000000001,0.0,1,2,0,0
CN(C)C(=O)N(C)C ,0.94,-1.1180363,-0.9276139,2.0580363,1.8676139,-0.19042242,116.16399999999999,0.22960000000000003,23.550000000000004,0,0,0,1
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,-6.8722434,-6.1299763,0.14775658,0.8900237,0.74226713,256.348,5.763040000000005,0.0,4,0,0,0
